"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Food_Bars","Food_Beer","Food_Cafes","Food_Cocktails","Food_Coffee","Food_Dining","Food_Fine_Dining","Food_Food","Food_Restaurants","Food_Seafood","Food_Wineries"
"24",18847,"Bangkok, Thailand",557,13.7704,100.6211,-1.86556249,-2.245203063,-2.215562181,-2.274135602,-2.139574123,-1.653262866,-2.289651235,-1.755536561,-1.708078208,-2.283359726,-2.252527669
"25",21296,"Barquisimeto, Venezuela",557,10.03041,-69.31138,-1.742986833,-2.220108088,-2.220108088,-2.220108088,-2.220108088,-1.742986833,-2.220108088,-2.220108088,-1.742986833,-2.220108088,-2.220108088
"26",21327,"Bern, Switzerland",557,46.9477,7.40662,-2.104123961,-2.205473487,-2.191966004,-2.205473487,-2.173159238,-1.827966899,-2.205473487,-2.110775192,-1.849180774,-2.205473487,-2.205473487
"27",22319,"Buenos Aires, Argentina",557,-34.61037,-58.44113,-1.978071345,-2.253027702,-2.2171382,-2.255975056,-2.194500604,-1.723606969,-2.217136705,-2.058334305,-1.772408416,-2.255975056,-2.187008017
"28",23373,"Dibba, Oman",557,25.65178,56.21976,-2.171367027,-2.181240478,-2.181240478,-2.181240478,-2.181240478,-2.004262969,-2.181240478,-1.940210968,-2.004262969,-2.181240478,-2.181240478
"29",23590,"Bozeman (and vicinity), Montana, United States of America",464,45.69789,-111.04859,-2.071997135,-2.194543099,-2.199966643,-2.206285262,-1.973849052,-1.786204995,-2.206285262,-2.023229426,-1.822452624,-2.206285262,-2.206285262
"30",23683,"Brazzaville, Republic of the Congo",557,-4.237149,15.29222,-2.15547311,-2.174488892,-2.174488892,-2.174488892,-2.174488892,-2.15547311,-2.174488892,-2.174488892,-2.15547311,-2.174488892,-2.174488892
"31",23776,"Cascavel (Parana), Brazil",557,-24.95574,-53.43666,-2.103694467,-2.181180786,-2.181180786,-2.181180786,-2.181180786,-2.103694467,-2.181180786,-2.181180786,-2.103694467,-2.181180786,-2.181180786
"32",24954,"Crescent City, California, United States of America",557,41.77528,-124.0064,-2.156913566,-2.214974522,-2.21451308,-2.184479272,-2.026315378,-1.947994987,-2.214974522,-2.049269432,-1.984995273,-2.214974522,-2.214974522
"33",25574,"Cologne, Germany",557,50.94614,6.973173,-1.87794864,-2.182129049,-2.181853448,-2.206941091,-2.087609819,-1.829149135,-2.211972185,-2.05039087,-1.84626774,-2.211972185,-2.211972185
"34",26194,"Chipata, Zambia",557,-13.63118,32.63906,-2.154758103,-2.174115241,-2.174115241,-2.174115241,-2.174115241,-2.154758103,-2.174115241,-2.174115241,-2.154758103,-2.174115241,-2.174115241
"35",26814,"College Station (and vicinity), Texas, United States of America",464,30.62921,-96.31858,-2.020029699,-2.213279863,-2.218680495,-2.228032972,-2.052284952,-1.850569265,-2.228032972,-2.064125667,-1.873075172,-2.228032972,-2.22677433
"36",26969,"Charlotte, North Carolina, United States of America",557,35.22723,-80.8362,-1.833070175,-2.251225457,-2.268096142,-2.272192701,-2.041112966,-1.574185055,-2.113925067,-1.825486416,-1.664603496,-2.279144214,-2.279144214
"37",27217,"Columbus, Ohio, United States of America",557,39.98415,-82.98585,-1.978038775,-2.03621681,-2.240170372,-2.243547674,-1.97298103,-1.630201677,-2.243225524,-1.849209899,-1.676019173,-2.243589594,-2.209244543
"38",27310,"Club Makokola, Mangochi, Malawi",557,-14.30099,35.11935,-2.166180927,-2.175696756,-2.175696756,-2.175696756,-2.175696756,-2.166180927,-2.175696756,-1.996903795,-2.166180927,-2.175696756,-2.175696756
"39",27341,"Clermont, Queensland, Australia",557,-22.7198,147.4383,-1.889301703,-2.190331698,-2.190331698,-2.190331698,-2.190331698,-1.889301703,-2.190331698,-2.190331698,-1.889301703,-2.190331698,-2.190331698
"40",27837,"Coeur d'Alene, Idaho, United States of America",557,47.64194,-116.7035,-2.044403214,-2.207535926,-2.22967176,-2.22967176,-1.892399401,-1.692969264,-2.22967176,-1.963342318,-1.801418742,-2.22967176,-2.22967176
"41",28240,"Copiapo, Chile",557,-27.3642,-70.33157,-2.139569555,-2.176766773,-2.176766773,-2.176766773,-2.176766773,-2.122101235,-2.176766773,-2.176766773,-2.122101235,-2.176766773,-2.176766773
"42",28953,"Chengdu, China",557,30.69975,103.8605,-2.036285726,-2.124354144,-2.22330665,-2.22330665,-2.21582959,-1.86851172,-2.22330665,-1.984769583,-1.894107788,-2.22330665,-2.22330665
"43",28984,"Cucuta, Colombia",557,7.907297,-72.50908,-2.109253915,-2.187134783,-2.187134783,-2.187134783,-2.147859226,-2.024670375,-2.147859226,-2.147859226,-2.078343735,-2.187134783,-2.187134783
"44",29046,"Culiacan (and vicinity), Sinaloa, Mexico",464,24.813196,-107.401922,-2.18464136,-2.203343723,-2.203343723,-2.203343723,-2.171059258,-1.925688509,-2.203343723,-2.131624263,-1.979717567,-2.174779574,-2.203343723
"45",29108,"Cancun, Quintana Roo, Mexico",557,21.12304,-86.88591,-1.764786459,-2.246211438,-2.305633436,-2.297057909,-2.181385365,-1.463397644,-2.230581047,-1.325901587,-1.556929913,-2.234977157,-2.332502255
"46",30286,"Dhaka, Bangladesh",557,23.78061,90.40796,-2.116078592,-2.211996658,-2.211996658,-2.211996658,-2.166055465,-1.919808878,-2.211996658,-2.037149804,-1.971060479,-2.211996658,-2.211996658
"47",30782,"Dodge City, Kansas, United States of America",557,37.74656,-100.0187,-2.172947809,-2.218294114,-2.160975488,-2.218294114,-2.164471102,-2.000418641,-2.218294114,-2.085564747,-2.015040389,-2.218294114,-2.218294114
"48",31061,"Desroches Island, Seychelles",557,-5.696703,53.66666,-1.942008053,-2.243038049,-2.243038049,-2.243038049,-2.243038049,-1.942008053,-2.243038049,-2.243038049,-1.942008053,-2.243038049,-2.243038049
"49",31216,"Durango, Durango, Mexico",557,24.03852,-104.6613,-2.184183599,-2.207095929,-2.207095929,-2.207095929,-2.207095929,-2.034172374,-2.207095929,-2.132496106,-2.055210041,-2.207095929,-2.207095929
"50",31402,"Dijon, France",557,47.3233,5.039531,-2.074464861,-2.200397814,-2.201845154,-2.205096109,-2.185369491,-1.869210218,-2.205096109,-2.125318781,-1.879443835,-2.205096109,-2.190172572
"51",31960,"Geilo, Hol, Norway",557,60.53467,8.206244,-2.146143014,-2.177648123,-2.177648123,-2.177648123,-2.177648123,-2.146143014,-2.177648123,-2.174742478,-2.146143014,-2.177648123,-2.177648123
"52",32053,"Da Lat, Vietnam",557,11.92321,108.4671,-2.132730274,-2.222374106,-2.197896994,-2.222374106,-2.087967448,-1.948679126,-2.222374106,-2.020558204,-2.006197702,-2.222374106,-2.222374106
"53",32456,"Denizli, Turkey",557,37.87642,29.14919,-2.155499636,-2.206412312,-2.196074642,-2.206412312,-2.192298534,-1.944996677,-2.206412312,-2.024996716,-1.978666524,-2.206412312,-2.206412312
"54",33386,"Durban, South Africa",557,-29.84922,30.99178,-2.074555542,-2.183000711,-2.175055144,-2.088583426,-2.18563349,-1.848177893,-2.228400224,-2.042552761,-1.899767215,-2.228400224,-2.228400224
"55",33944,"Kampala, Uganda",557,0.30793,32.57166,-2.112281369,-2.218337796,-2.218337796,-2.218337796,-2.123336537,-1.994299279,-2.218337796,-2.030057676,-2.018083143,-2.218337796,-2.218337796
"56",34223,"Edinburgh, Scotland, United Kingdom",557,55.94121,-3.224316,-1.746272408,-2.292208893,-2.102337109,-2.27886622,-2.06683022,-1.532700352,-2.303092364,-1.764610849,-1.609196197,-2.304999448,-2.304999448
"57",35122,"El Paso (and vicinity), Texas, United States of America",464,31.78105,-106.404565,-2.012933161,-2.172189306,-2.223820721,-2.226584291,-2.088100521,-1.727467666,-2.227007673,-1.976769225,-1.757927126,-2.227403402,-2.227403402
"58",36331,"El Salvador, Chile",557,-26.14895,-69.62051,-2.149010627,-2.193375569,-2.24269181,-2.24269181,-2.13725298,-2.095721672,-2.24269181,-2.100859437,-2.095721672,-2.193375569,-2.193375569
"59",36703,"New Bedford, Massachusetts, United States of America",557,41.66583,-70.93975,-2.10235151,-2.201181557,-2.201181557,-2.201181557,-2.133386522,-1.862684686,-2.201181557,-2.074868164,-1.873845357,-2.115903039,-2.156938355
"60",37044,"Fajardo, Puerto Rico",557,18.32608,-65.65771,-1.937465627,-2.26799294,-2.183037151,-2.326261841,-2.123773362,-1.538179678,-2.286334713,-1.617489728,-1.579872754,-2.219456261,-2.326262029
"61",37168,"Fresno, California, United States of America",557,36.70835,-119.8372,-2.032972961,-2.223637158,-2.227273701,-2.238017275,-1.988349032,-1.695806277,-2.238017275,-1.975601416,-1.752725736,-2.238017275,-2.238017275
"62",37881,"Flagstaff, Arizona, United States of America",557,35.32666,-111.5108,-1.94413669,-2.170044201,-2.217244071,-2.258065905,-1.885325419,-1.625889416,-2.267243257,-1.849336181,-1.677725176,-2.267477077,-2.267477077
"63",38718,"Freeport, Grand Bahama Island, Bahamas",557,26.54691,-78.62624,-1.925498649,-2.250769666,-2.199234758,-2.279754711,-2.1997231,-1.589367973,-2.257228525,-1.622372752,-1.626391523,-2.176792881,-2.289911319
"64",39896,"Great Bend (and vicinity), Kansas, United States of America",464,38.36187,-98.783956,-2.031450636,-2.149778229,-2.206912149,-2.206912149,-2.193632566,-2.103083839,-2.206912149,-2.139198529,-2.103156867,-2.206912149,-2.206912149
"65",41198,"Gibraltar, Gibraltar",557,36.12961,-5.352098,-1.877569197,-2.213011289,-2.094561501,-2.213011289,-2.059726885,-1.709072534,-2.213011289,-1.87124271,-1.729653816,-2.213011289,-2.213011289
"66",41384,"Grand Junction (and vicinity), Colorado, United States of America",464,39.112646,-108.54066,-1.720737197,-2.234523296,-2.240708164,-2.250589505,-1.928291182,-1.459883081,-2.242339147,-1.76809632,-1.497602048,-2.250589505,-2.05928126
"67",42810,"George, South Africa",557,-33.98348,22.4279,-2.109486031,-2.184759198,-2.184759198,-2.184759198,-2.161397384,-2.033840469,-2.184759198,-2.10501151,-2.036337092,-2.184759198,-2.184759198
"68",43399,"Gunnison, Colorado, United States of America",557,38.48177,-107.0868,-2.174148471,-2.19446931,-2.19446931,-2.19446931,-2.068160027,-1.890153889,-2.19446931,-2.078955994,-1.939783895,-2.19446931,-2.19446931
"69",45631,"Honiara, Solomon Islands",557,-9.4255,159.9855,-2.160036593,-2.177102163,-2.177102163,-2.177102163,-2.177102163,-2.151748865,-2.177102163,-2.071314243,-2.151748865,-2.177102163,-2.177102163
"70",46065,"Hluhluwe, South Africa",557,-27.91931,32.21917,-2.112548629,-2.179397775,-2.179397775,-2.179397775,-2.179397775,-2.069824939,-2.179397775,-2.128557489,-2.107808563,-2.179397775,-2.179397775
"71",46902,"Princeville, Hawaii, United States of America",557,22.20893,-159.4733,-2.109376179,-2.237391605,-2.237391605,-2.223014983,-2.097992257,-1.889542972,-2.237391605,-1.924480059,-1.900729948,-2.237391605,-2.237391605
"72",47088,"Harlingen, Texas, United States of America",557,26.18563,-97.72042,-2.002739352,-2.224557826,-2.224557826,-2.224557826,-2.183734847,-1.901616636,-2.224557826,-2.095210718,-1.909312326,-2.224557826,-2.224557826
"73",47863,"Honningsvag, Nordkapp, Norway",557,70.98721,25.98217,-2.148971196,-2.17550144,-2.17550144,-2.17550144,-2.17550144,-2.148971196,-2.17550144,-2.17550144,-2.148971196,-2.17550144,-2.17550144
"74",47925,"Havre, Montana, United States of America",557,48.37663,-109.6558,-2.107571543,-2.112640041,-2.215870323,-2.215870323,-2.209493855,-1.997731745,-2.215870323,-2.09446265,-1.997731745,-2.215870323,-2.215870323
"75",48514,"Idaho Falls (and vicinity), Idaho, United States of America",464,43.497752,-112.04716,-2.046703775,-2.229331432,-2.254009279,-2.25441886,-2.02959145,-1.765176472,-2.254270393,-1.967409615,-1.800082295,-2.25441886,-2.25441886
"76",50467,"Iquitos (and vicinity), Peru",464,-3.752397,-73.246713,-2.087091634,-2.243753839,-2.243753839,-2.243753839,-2.243680292,-1.903992021,-2.243753839,-2.075958787,-1.929119117,-2.243753839,-2.243753839
"77",50653,"Kirksville, Missouri, United States of America",557,40.15751,-92.59195,-2.100196831,-2.142066848,-2.203144112,-2.203144112,-2.086946475,-1.975691517,-2.203144112,-2.072817088,-1.99035841,-2.203144112,-2.203144112
"78",51056,"Hilo, Hawaii, United States of America",557,19.71103,-155.2187,-2.08011739,-2.273978497,-2.218312404,-2.300465901,-1.958458608,-1.54923231,-2.30374781,-1.880888962,-1.576322036,-2.230670677,-2.30374781
"79",51180,"Ivalo, Finland",557,68.65356,27.54374,-2.163319026,-2.180141582,-2.180141582,-2.180141582,-2.180141582,-2.070992544,-2.180141582,-2.151399446,-2.070992544,-2.180141582,-2.180141582
"80",51242,"Ironwood (and vicinity), Michigan, United States of America",464,46.46336,-90.17084,-2.183361508,-2.183361508,-2.183361508,-2.183361508,-2.159657989,-2.010816184,-2.183361508,-2.086670416,-2.056637453,-2.183361508,-2.183361508
"81",53629,"Kilimanjaro, Moshi, Tanzania",557,-3.128317,37.33981,-2.132934536,-2.183239015,-2.183239015,-2.183239015,-2.119941481,-2.044085056,-2.183239015,-1.979989498,-2.095573871,-2.183239015,-2.183239015
"82",53660,"Jerusalem, Israel",557,31.77991,35.20602,-1.985780079,-2.211212957,-2.134438577,-2.240648939,-2.063919935,-1.837117227,-2.240648939,-2.046233643,-1.935728911,-2.240648939,-2.240648939
"83",53877,"Syros Island, Greece",464,37.42341,24.91609,-2.108345774,-2.184609667,-2.184609667,-2.184609667,-2.184609667,-2.052690269,-2.184609667,-2.184609667,-2.053115871,-2.184609667,-2.184609667
"84",53908,"Santorini Island, Greece",464,36.419936,25.430659,-2.065186932,-2.253474155,-2.214813113,-2.21663411,-2.199852387,-1.838352086,-2.253474155,-2.064934705,-1.906402938,-2.253474155,-2.018787312
"85",53939,"Astypalaia Island, Greece",464,36.55911,26.31314,-2.105623349,-2.18053123,-2.18053123,-2.18053123,-2.18053123,-2.094304846,-2.18053123,-2.18053123,-2.094304846,-2.18053123,-2.18053123
"86",54652,"Kalbarri, Western Australia, Australia",557,-27.69008,114.201,-2.173251846,-2.181465777,-2.181465777,-2.181465777,-2.181465777,-2.100296335,-2.181465777,-2.181465777,-2.100296335,-2.181465777,-2.181465777
"87",55179,"Kendari, Indonesia",557,-3.985,122.549,-2.139826729,-2.175421065,-2.175421065,-2.175421065,-2.175421065,-2.139826729,-2.175421065,-2.175421065,-2.139826729,-2.175421065,-2.175421065
"88",56264,"Nanchang, China",557,28.65184,116.0101,-2.098603207,-2.181907368,-2.181907368,-2.181907368,-2.181907368,-2.021346162,-2.181907368,-2.180332785,-2.021346162,-2.181907368,-2.181907368
"89",56481,"Niigata, Japan",557,37.84869,139.0167,-2.158117162,-2.180680767,-2.180680767,-2.180680767,-2.180680767,-2.015577535,-2.180680767,-2.147642839,-2.015577535,-2.180680767,-2.180680767
"90",57969,"Kostroma, Russia",557,57.78633,40.95428,-2.108257929,-2.181439882,-2.181439882,-2.181439882,-2.181439882,-2.094992926,-2.181439882,-2.181439882,-2.094992926,-2.181439882,-2.181439882
"91",58000,"Khamis Mushait, Saudi Arabia",557,18.29017,42.72308,-2.154758103,-2.174115241,-2.174115241,-2.174115241,-2.174115241,-2.154758103,-2.174115241,-2.174115241,-2.154758103,-2.174115241,-2.174115241
"92",58341,"Kununurra, Western Australia, Australia",557,-15.56053,128.8505,-2.076146915,-2.195755507,-2.195755507,-2.195755507,-2.195755507,-1.99618661,-2.195755507,-2.195755507,-1.99618661,-2.195755507,-2.195755507
"93",59426,"Krasnodar, Russia",557,45.06319,38.97216,-2.073628339,-2.187221499,-2.187221499,-2.187221499,-2.187221499,-1.96073618,-2.187221499,-2.187221499,-1.96073618,-2.187221499,-2.187221499
"94",59736,"Kassel, Germany",557,51.31094,9.459151,-2.099617039,-2.191908194,-2.191908194,-2.191908194,-2.178554018,-2.049528596,-2.191908194,-2.158735977,-2.064988721,-2.191908194,-2.191908194
"95",60356,"Katowice, Poland",557,50.23679,19.01677,-2.033090388,-2.189384278,-2.120611493,-2.189384278,-2.176530464,-1.956275311,-2.189384278,-2.086428729,-1.975312596,-2.189384278,-2.189384278
"96",62433,"Lawton, Oklahoma, United States of America",557,34.65826,-98.43703,-2.125280268,-2.20543564,-2.208986581,-2.208986581,-2.056575079,-1.903660597,-2.208986581,-2.038993613,-1.935536977,-2.208986581,-2.208986581
"97",62557,"Lubbock, Texas, United States of America",557,33.59001,-101.8626,-2.003007306,-2.179748588,-2.21327649,-2.204476186,-2.035382933,-1.91801225,-2.21327649,-1.988596502,-1.972751376,-2.21327649,-2.170837104
"98",62836,"Labuan, Malaysia",557,5.281978,115.2113,-2.156417505,-2.174770434,-2.174770434,-2.174770434,-2.174770434,-2.156417505,-2.174770434,-2.174770434,-2.156417505,-2.174770434,-2.174770434
"99",64231,"Lahore, Pakistan",557,31.52982,74.35329,-2.139066157,-2.194266151,-2.150643685,-2.194266151,-2.150643685,-2.121779754,-2.194266151,-2.079596726,-2.121779754,-2.194266151,-2.194266151
"100",65688,"Lagos (and vicinity), Nigeria",464,6.433285,3.42323,-1.987901051,-2.189651859,-2.189651859,-2.189651859,-2.181591045,-1.979092916,-2.189651859,-1.981828442,-2.00635997,-2.189651859,-2.189651859
"101",65905,"Liverpool, England, United Kingdom",557,53.45375,-2.936515,-1.831049809,-2.160119177,-2.185237636,-2.259007147,-2.096234312,-1.69180415,-2.2664668,-1.87869725,-1.7296412,-2.266498714,-2.266498714
"102",65998,"Luang Prabang, Laos",557,19.87801,102.1461,-2.117666581,-2.221338558,-2.18174335,-2.225179973,-2.137533853,-1.987642523,-2.225179973,-1.979617019,-2.021124475,-2.225179973,-2.225179973
"103",66432,"La Serena (and vicinity), Chile",464,-29.930496,-71.274738,-2.157425007,-2.178399273,-2.178399273,-2.178399273,-2.178399273,-2.150499323,-2.178399273,-2.178399273,-2.150499323,-2.178399273,-2.178399273
"104",67114,"Lusaka, Zambia",557,-15.40669,28.33163,-2.044264639,-2.213113748,-2.213113748,-2.213113748,-2.171141555,-1.844751102,-2.213113748,-1.905987467,-1.887610902,-2.213113748,-2.213113748
"105",67734,"Luxor, Egypt",557,25.68963,32.61804,-2.056478033,-2.223007623,-2.166138469,-2.223007623,-2.202694675,-1.896286948,-2.223007623,-1.984962284,-1.937304011,-2.223007623,-2.223007623
"106",67796,"Luoyang, China",557,34.28349,111.9959,-2.117457428,-2.180954201,-2.180954201,-2.180954201,-2.180954201,-2.043199171,-2.180954201,-2.180954201,-2.043199171,-2.180954201,-2.180954201
"107",69346,"Machala, Ecuador",557,-3.249661,-79.95928,-2.156973768,-2.176180328,-2.176180328,-2.176180328,-2.176180328,-2.156973768,-2.176180328,-2.176180328,-2.156973768,-2.176180328,-2.176180328
"108",69439,"Macon (and vicinity), Georgia, United States of America",464,32.875856,-83.6892,-2.083930253,-2.178959065,-2.197553676,-2.198277167,-2.075849505,-1.781431787,-2.198277167,-2.033476424,-1.818307893,-2.198277167,-2.198277167
"109",69532,"Montlucon, France",557,46.33879,2.603488,-2.148667956,-2.175988648,-2.175988648,-2.175988648,-2.175988648,-2.148667956,-2.175988648,-2.175988648,-2.148667956,-2.175988648,-2.175988648
"110",70741,"Mount Gambier, South Australia, Australia",557,-37.83,140.7895,-2.146465165,-2.196759627,-2.196759627,-2.196759627,-2.168664254,-1.889871592,-2.196759627,-2.101365125,-1.913311707,-2.196759627,-2.196759627
"111",71206,"Manhattan (and vicinity), Kansas, United States of America",464,39.18027,-96.563237,-2.105893427,-2.190223084,-2.190223084,-2.190223084,-2.064781469,-1.940456464,-2.190223084,-2.096830935,-1.963866105,-2.190223084,-2.190223084
"112",71485,"Milan, Italy",557,45.46833,9.173051,-1.852653665,-2.260277727,-2.110759158,-2.263693125,-2.065224811,-1.782472471,-2.266378475,-2.027935592,-1.822736893,-2.266373837,-2.266378475
"113",72198,"Milwaukee, Wisconsin, United States of America",557,43.06527,-87.95989,-1.696318606,-2.056023254,-2.224985898,-2.274178035,-1.935368935,-1.557925372,-2.285602232,-1.798750063,-1.615648982,-2.284724078,-2.286037278
"114",72601,"Manokwari, Indonesia",557,-0.861885,134.079,-1.903089987,-2.204119983,-2.204119983,-2.204119983,-2.204119983,-1.903089987,-2.204119983,-2.204119983,-1.903089987,-2.204119983,-2.204119983
"115",72911,"Morelia (and vicinity), Michoacan, Mexico",464,19.702885,-101.193266,-2.124213887,-2.201274465,-2.189979145,-2.201274465,-2.143483329,-1.956297738,-2.170379913,-2.087830604,-1.987924498,-2.201274465,-2.201274465
"116",73035,"Monroe (and vicinity), Louisiana, United States of America",464,32.502362,-92.08289,-2.114522829,-2.199437227,-2.209448521,-2.209448521,-2.0902796,-1.961717647,-2.209448521,-2.123101478,-1.98680247,-2.209448521,-2.206468977
"117",75298,"Missoula, Montana, United States of America",557,46.92574,-114.003,-2.109203786,-2.187901317,-2.24580329,-2.248418746,-1.996578983,-1.834763411,-2.247872701,-1.946848854,-1.898529913,-2.248418746,-2.160393299
"118",76104,"Maun, Botswana",557,-19.98787,23.42274,-2.14870879,-2.185764583,-2.185764583,-2.185764583,-2.185764583,-2.14870879,-2.185764583,-2.185764583,-2.14870879,-2.185764583,-2.185764583
"119",76135,"Munich, Germany",557,48.15316,11.54726,-1.832291581,-1.906380017,-2.114549536,-2.260919565,-2.079989957,-1.739010652,-2.262603802,-1.890802028,-1.775191762,-2.262603802,-2.262603802
"120",77344,"Myrtle Beach, South Carolina, United States of America",557,33.72546,-78.89613,-1.879813019,-2.267503095,-2.2250321,-2.292864787,-1.995556988,-1.716512771,-2.2944212,-1.978768337,-1.758224541,-2.284673835,-2.294423439
"121",77995,"Nagpur, India",557,21.1245,79.0875,-2.11896391,-2.181897105,-2.181897105,-2.181897105,-2.181897105,-2.003120234,-2.181897105,-2.063830777,-2.037576446,-2.181897105,-2.181897105
"122",78150,"Naples, Italy",557,40.85086,14.23781,-1.912213743,-2.218876892,-2.111271738,-2.218223199,-2.107332281,-1.709777876,-2.222776263,-2.000671243,-1.733472425,-2.222776263,-2.222776263
"123",79080,"Newcastle, Nevis, St. Kitts and Nevis",557,17.20205,-62.5913,-2.149307603,-2.194370637,-2.194370637,-2.194370637,-2.163928554,-1.927068425,-2.194370637,-1.913669239,-1.955815244,-2.194370637,-2.194370637
