"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Continent","Business_Budget","Business_Business","Business_Conferences","Business_Port","Business_Resorts","Business_University"
"40",28953,"Chengdu, China",557,30.69975,103.8605,"Asia",0.085632071,0.093152695,0.059798921,0.059798921,0.059798921,0.059798921
"41",28984,"Cucuta, Colombia",557,7.907297,-72.50908,"South America",0.069893415,0.069796638,0.064992795,0.064992795,0.064992795,0.064992795
"42",29046,"Culiacan (and vicinity), Sinaloa, Mexico",464,24.813196,-107.401922,"South America",0.067023481,0.087079587,0.062611813,0.066868322,0.062611813,0.062611813
"43",29108,"Cancun, Quintana Roo, Mexico",557,21.12304,-86.88591,"South America",0.073378261,0.057265614,0.046864435,0.046480921,0.138927907,0.051042658
"44",30286,"Dhaka, Bangladesh",557,23.78061,90.40796,"Asia",0.061376673,0.085537711,0.061376673,0.083881103,0.061376673,0.070228209
"45",30782,"Dodge City, Kansas, United States of America",557,37.74656,-100.0187,"North America",0.080302189,0.07878169,0.060493106,0.060493106,0.060493106,0.064586595
"46",31216,"Durango, Durango, Mexico",557,24.03852,-104.6613,"South America",0.062073191,0.072957617,0.062073191,0.062073191,0.062073191,0.062073191
"47",31402,"Dijon, France",557,47.3233,5.039531,"Europe",0.065987192,0.071063565,0.062359682,0.062359682,0.062359682,0.062359682
"48",31960,"Geilo, Hol, Norway",557,60.53467,8.206244,"Europe",0.066428107,0.071426108,0.066428107,0.066428107,0.066428107,0.066428107
"49",32053,"Da Lat, Vietnam",557,11.92321,108.4671,"Asia",0.093204176,0.076302271,0.059927463,0.059927463,0.059927463,0.081346514
"50",32456,"Denizli, Turkey",557,37.87642,29.14919,"Europe",0.063930936,0.068672856,0.062170976,0.062170976,0.062170976,0.062170976
"51",33386,"Durban, South Africa",557,-29.84922,30.99178,"Africa",0.067262267,0.083753577,0.068138823,0.076587621,0.059101673,0.059101673
"52",33944,"Kampala, Uganda",557,0.30793,32.57166,"Africa",0.074444167,0.077248005,0.062106504,0.060487022,0.060487022,0.060487022
"53",34223,"Edinburgh, Scotland, United Kingdom",557,55.94121,-3.224316,"Europe",0.08016465,0.101869248,0.052356319,0.056971168,0.049545082,0.06376643
"54",35122,"El Paso (and vicinity), Texas, United States of America",464,31.78105,-106.404565,"North America",0.078554567,0.099755515,0.059637526,0.059270037,0.059237483,0.062332557
"55",36331,"El Salvador, Chile",557,-26.14895,-69.62051,"South America",0.072903272,0.057188432,0.057188432,0.069351419,0.057188432,0.057188432
"56",36703,"New Bedford, Massachusetts, United States of America",557,41.66583,-70.93975,"North America",0.066494403,0.073002022,0.062924307,0.097521323,0.062924307,0.062924307
"57",37044,"Fajardo, Puerto Rico",557,18.32608,-65.65771,"South America",0.065940196,0.064259341,0.049269712,0.054363909,0.050425857,0.047190227
"58",37168,"Fresno, California, United States of America",557,36.70835,-119.8372,"North America",0.089953051,0.130515512,0.06228881,0.057807305,0.057807305,0.083119377
"59",37881,"Flagstaff, Arizona, United States of America",557,35.32666,-111.5108,"North America",0.118465373,0.089946509,0.056949146,0.054016062,0.054016062,0.10091412
"60",38718,"Freeport, Grand Bahama Island, Bahamas",557,26.54691,-78.62624,"South America",0.058581774,0.078058947,0.051296612,0.091978863,0.093384301,0.05424358
"61",39896,"Great Bend (and vicinity), Kansas, United States of America",464,38.36187,-98.783956,"North America",0.064751636,0.094827212,0.062099464,0.062099464,0.062099464,0.070830739
"62",41384,"Grand Junction (and vicinity), Colorado, United States of America",464,39.112646,-108.54066,"North America",0.124122432,0.096100062,0.059019831,0.056663382,0.056157853,0.075142993
"63",42810,"George, South Africa",557,-33.98348,22.4279,"Africa",0.065349279,0.071672676,0.065349279,0.065349279,0.065349279,0.065349279
"64",43399,"Gunnison, Colorado, United States of America",557,38.48177,-107.0868,"North America",0.066364436,0.070017386,0.063904389,0.063904389,0.063904389,0.068373811
"65",46065,"Hluhluwe, South Africa",557,-27.91931,32.21917,"Africa",0.066161025,0.067854792,0.066161025,0.066161025,0.066161025,0.066161025
"66",46902,"Princeville, Hawaii, United States of America",557,22.20893,-159.4733,"North America",0.06909848,0.073506392,0.057890646,0.057890646,0.057890646,0.057890646
"67",47088,"Harlingen, Texas, United States of America",557,26.18563,-97.72042,"North America",0.063629298,0.079710535,0.059626892,0.06329829,0.059626892,0.059626892
"68",47863,"Honningsvag, Nordkapp, Norway",557,70.98721,25.98217,"Europe",0.066757269,0.069560745,0.066757269,0.084880783,0.066757269,0.066757269
"69",47925,"Havre, Montana, United States of America",557,48.37663,-109.6558,"North America",0.077154269,0.063548806,0.060831661,0.060831661,0.060831661,0.077154269
"70",48514,"Idaho Falls (and vicinity), Idaho, United States of America",464,43.497752,-112.04716,"North America",0.08656474,0.088479002,0.057120463,0.056311031,0.055664862,0.056634389
"71",50467,"Iquitos (and vicinity), Peru",464,-3.752397,-73.246713,"South America",0.063336367,0.062538519,0.057048754,0.086526932,0.057833006,0.057048754
"72",50653,"Kirksville, Missouri, United States of America",557,40.15751,-92.59195,"North America",0.079209056,0.071885012,0.062640597,0.062640597,0.062640597,0.129294586
"73",51056,"Hilo, Hawaii, United States of America",557,19.71103,-155.2187,"North America",0.087955593,0.06486307,0.049688077,0.061988351,0.049688077,0.052213433
"74",51180,"Ivalo, Finland",557,68.65356,27.54374,"Europe",0.066047809,0.066047809,0.066047809,0.066047809,0.066047809,0.066047809
"75",51242,"Ironwood (and vicinity), Michigan, United States of America",464,46.46336,-90.17084,"North America",0.065559932,0.074223976,0.065559932,0.065559932,0.065559932,0.065559932
"76",53629,"Kilimanjaro, Moshi, Tanzania",557,-3.128317,37.33981,"Africa",0.065578425,0.071330841,0.065578425,0.065578425,0.065578425,0.065578425
"77",53660,"Jerusalem, Israel",557,31.77991,35.20602,"Europe",0.06252075,0.07131707,0.057780699,0.06231587,0.057458074,0.067638885
"78",53877,"Syros Island, Greece",464,37.42341,24.91609,"Europe",0.065371783,0.066723044,0.065371783,0.082414777,0.065371783,0.065371783
"79",53908,"Santorini Island, Greece",464,36.419936,25.430659,"Europe",0.066603222,0.058039036,0.05578608,0.079173824,0.055841708,0.05578608
"80",53939,"Astypalaia Island, Greece",464,36.55911,26.31314,"Europe",0.065988578,0.068058972,0.065988578,0.065988578,0.065988578,0.065988578
"81",54652,"Kalbarri, Western Australia, Australia",557,-27.69008,114.201,"Australia",0.065846732,0.065846732,0.065846732,0.065846732,0.065846732,0.065846732
"82",55179,"Kendari, Indonesia",557,-3.985,122.549,"Asia",0.066769625,0.072472505,0.066769625,0.066769625,0.066769625,0.066769625
"83",56264,"Nanchang, China",557,28.65184,116.0101,"Asia",0.065779813,0.08366268,0.065779813,0.065779813,0.065779813,0.065779813
"84",56481,"Niigata, Japan",557,37.84869,139.0167,"Asia",0.065965861,0.073001508,0.065965861,0.069691559,0.065965861,0.069691559
"85",57969,"Kostroma, Russia",557,57.78633,40.95428,"Europe",0.065850658,0.082771132,0.065850658,0.065850658,0.065850658,0.065850658
"86",58000,"Khamis Mushait, Saudi Arabia",557,18.29017,42.72308,"Asia",0.066970688,0.070023191,0.066970688,0.066970688,0.066970688,0.066970688
"87",58341,"Kununurra, Western Australia, Australia",557,-15.56053,128.8505,"Australia",0.063715412,0.067071867,0.063715412,0.063715412,0.063715412,0.063715412
"88",59426,"Krasnodar, Russia",557,45.06319,38.97216,"Europe",0.06497982,0.092115728,0.06497982,0.06497982,0.06497982,0.06497982
"89",59736,"Kassel, Germany",557,51.31094,9.459151,"Europe",0.064282359,0.073450175,0.064282359,0.064282359,0.064282359,0.064282359
"90",60356,"Katowice, Poland",557,50.23679,19.01677,"Europe",0.072484977,0.098845291,0.064657026,0.064657026,0.064657026,0.064657026
"91",62433,"Lawton, Oklahoma, United States of America",557,34.65826,-98.43703,"North America",0.074505457,0.076240212,0.06180355,0.06180355,0.06180355,0.067134449
"92",62557,"Lubbock, Texas, United States of America",557,33.59001,-101.8626,"North America",0.081411833,0.099960754,0.065055106,0.061196067,0.061196067,0.104742852
"93",64231,"Lahore, Pakistan",557,31.52982,74.35329,"Asia",0.06393429,0.066827251,0.073958717,0.06393429,0.06393429,0.06393429
"94",65905,"Liverpool, England, United Kingdom",557,53.45375,-2.936515,"Europe",0.086535209,0.085340514,0.062806312,0.068682508,0.054137885,0.057149076
"95",65998,"Luang Prabang, Laos",557,19.87801,102.1461,"Asia",0.067116658,0.068720057,0.059541535,0.059541535,0.059541535,0.059541535
"96",66432,"La Serena (and vicinity), Chile",464,-29.930496,-71.274738,"South America",0.066313313,0.069594512,0.066313313,0.066313313,0.066313313,0.066313313
"97",67114,"Lusaka, Zambia",557,-15.40669,28.33163,"Africa",0.065640469,0.108487367,0.061219003,0.061219003,0.061219003,0.061219003
"98",67734,"Luxor, Egypt",557,25.68963,32.61804,"Africa",0.06992674,0.076683017,0.059840109,0.066548977,0.059840109,0.059840109
"99",67796,"Luoyang, China",557,34.28349,111.9959,"Asia",0.078042477,0.081492582,0.065924341,0.065924341,0.065924341,0.065924341
"100",69346,"Machala, Ecuador",557,-3.249661,-79.95928,"South America",0.066652995,0.066652995,0.066652995,0.066652995,0.066652995,0.066652995
"101",69439,"Macon (and vicinity), Georgia, United States of America",464,32.875856,-83.6892,"North America",0.082958417,0.097788481,0.064337735,0.06334653,0.06334653,0.069103043
"102",69532,"Montlucon, France",557,46.33879,2.603488,"Europe",0.06668242,0.06668242,0.06668242,0.06668242,0.06668242,0.06668242
"103",70741,"Mount Gambier, South Australia, Australia",557,-37.83,140.7895,"Australia",0.104866206,0.090295232,0.063568267,0.063568267,0.063568267,0.063568267
"104",71206,"Manhattan (and vicinity), Kansas, United States of America",464,39.18027,-96.563237,"North America",0.084814536,0.086217601,0.064963209,0.064532266,0.064532266,0.084746306
"105",71485,"Milan, Italy",557,45.46833,9.173051,"Europe",0.070206826,0.10679397,0.055221509,0.05419629,0.054152876,0.066525754
"106",72198,"Milwaukee, Wisconsin, United States of America",557,43.06527,-87.95989,"North America",0.081300886,0.133362319,0.061656083,0.07266862,0.05175624,0.09151238
"107",72601,"Manokwari, Indonesia",557,-0.861885,134.079,"Asia",0.0625,0.125,0.0625,0.0625,0.0625,0.0625
"108",72911,"Morelia (and vicinity), Michoacan, Mexico",464,19.702885,-101.193266,"South America",0.072658738,0.077504073,0.062910847,0.062910847,0.062910847,0.062910847
"109",73035,"Monroe (and vicinity), Louisiana, United States of America",464,32.502362,-92.08289,"North America",0.072389135,0.08527574,0.061737847,0.061737847,0.061737847,0.066830313
"110",75298,"Missoula, Montana, United States of America",557,46.92574,-114.003,"North America",0.064879708,0.077044676,0.058835796,0.056439253,0.056439253,0.078772265
"111",76104,"Maun, Botswana",557,-19.98787,23.42274,"Africa",0.065198172,0.071005372,0.065198172,0.065198172,0.065198172,0.065198172
"112",76135,"Munich, Germany",557,48.15316,11.54726,"Europe",0.074015569,0.095624197,0.055382479,0.054625597,0.054625597,0.054848398
"113",77344,"Myrtle Beach, South Carolina, United States of America",557,33.72546,-78.89613,"North America",0.084252743,0.073623567,0.051762513,0.050986785,0.050856647,0.05577563
"114",77995,"Nagpur, India",557,21.1245,79.0875,"Asia",0.065781367,0.086776001,0.065781367,0.065781367,0.065781367,0.065781367
"115",78150,"Naples, Italy",557,40.85086,14.23781,"Europe",0.067917515,0.083150077,0.062703007,0.082545996,0.059871996,0.061833833
"116",79669,"Nanjing (prefecture), China",464,32.043892,118.778867,"Asia",0.06591078,0.099812948,0.064461561,0.064461561,0.064461561,0.064461561
"117",79855,"Nuevo Laredo, Tamaulipas, Mexico",557,27.44953,-99.54123,"South America",0.06917858,0.083950658,0.062637782,0.067343477,0.062637782,0.062637782
"118",79917,"Norfolk Island (all)",464,-29.041054,167.959123,"Australia",0.064016876,0.067712367,0.064016876,0.064016876,0.064016876,0.064016876
"119",80196,"Nan, Thailand",557,18.79328,100.7743,"Asia",0.065368705,0.065368705,0.065368705,0.065368705,0.065368705,0.065368705
"120",80258,"Nosara, Costa Rica",557,9.960187,-85.67142,"South America",0.066453004,0.070025622,0.062688085,0.062688085,0.062688085,0.062688085
"121",80475,"Novokuznetsk, Russia",557,53.79415,87.18195,"Europe",0.0669371,0.0669371,0.0669371,0.0669371,0.0669371,0.0669371
"122",80785,"Nakhon Si Thammarat, Thailand",557,8.449618,99.93372,"Asia",0.06562902,0.06562902,0.06562902,0.06562902,0.06562902,0.06562902
"123",81560,"Nyaung-U, Myanmar",557,21.19927,94.91461,"Asia",0.064679018,0.067498699,0.064679018,0.064679018,0.064679018,0.064679018
"124",81684,"Oaxaca, Oaxaca, Mexico",557,17.06267,-96.71957,"South America",0.067850927,0.071861204,0.0603483,0.0603483,0.0603483,0.0603483
"125",81839,"Ocho Rios, Jamaica",557,18.41611,-77.11572,"South America",0.056836145,0.055930049,0.048640409,0.05080046,0.132518764,0.050027403
"126",81963,"Oak Harbor, Washington, United States of America",557,48.31589,-122.6376,"North America",0.061753003,0.063564434,0.061753003,0.105900473,0.061753003,0.061753003
"127",82893,"Omaha (and vicinity), Nebraska, United States of America",464,41.25235,-96.02186,"North America",0.078608907,0.091058588,0.058254578,0.056197422,0.055861869,0.081559053
"128",83482,"Norfolk, Virginia, United States of America",557,36.90712,-76.2547,"North America",0.09217759,0.101902106,0.063345449,0.07598479,0.061042807,0.068381693
"129",83792,"Oshkosh, Wisconsin, United States of America",557,44.00908,-88.58203,"North America",0.091528695,0.071760244,0.060748365,0.059500837,0.059500837,0.081619028
"130",84505,"Oviedo (and vicinity), Spain",464,43.363059,-5.85306,"Europe",0.06509042,0.076570803,0.066460827,0.06509042,0.06509042,0.065717854
"131",85001,"Puebla (and vicinity), Puebla, Mexico",464,19.044319,-98.2201,"South America",0.066345622,0.08988252,0.064551053,0.064489865,0.064489865,0.064489865
"132",85404,"Pucallpa, Peru",557,-8.361413,-74.57972,"South America",0.062111801,0.124223603,0.062111801,0.062111801,0.062111801,0.062111801
"133",86334,"Ponta Grossa, Brazil",557,-25.13716,-50.06645,"South America",0.066752652,0.075256053,0.066752652,0.066752652,0.066752652,0.066752652
"134",86365,"Port Harcourt, Nigeria",557,4.817473,7.03522,"Africa",0.066485696,0.075006305,0.066485696,0.074910892,0.066485696,0.066485696
"135",87698,"Pemba Island, Tanzania",557,-5.176836,39.75418,"Africa",0.066643658,0.072522553,0.066643658,0.066643658,0.066643658,0.066643658
"136",88008,"Pamplona (and vicinity), Spain",464,42.81396,-1.645061,"Europe",0.066381121,0.079076766,0.064588086,0.064588086,0.064588086,0.065868978
"137",88070,"Phnom Penh, Cambodia",557,11.55329,104.8704,"Asia",0.086519368,0.101046744,0.059222782,0.059222782,0.059222782,0.059222782
"138",88907,"Puerto Princesa, Philippines",557,9.973703,118.821,"Asia",0.075550642,0.068487722,0.062871548,0.065470831,0.062871548,0.063981282
"139",89279,"Pretoria, South Africa",557,-25.7472,28.24784,"Africa",0.064615502,0.095245823,0.064615502,0.064615502,0.064615502,0.064615502
"140",92689,"Yangon, Myanmar",557,16.8687,96.18923,"Asia",0.07427534,0.069970058,0.06128479,0.066711165,0.06128479,0.06128479
"141",92782,"Rhodes Island, Greece",464,36.40009,28.187528,"Europe",0.067295421,0.061808923,0.058500351,0.079170155,0.0637034,0.058500351
"142",93433,"Rimini, Italy",557,44.04332,12.53376,"Europe",0.064108533,0.072813159,0.063654843,0.063654843,0.063654843,0.063654843
"143",93774,"Rochester, New York, United States of America",557,43.17537,-77.64826,"North America",0.066824242,0.11193864,0.060465042,0.070717496,0.05612956,0.11960957
"144",93991,"Rostov-on-Don, Russia",557,47.23912,39.67801,"Europe",0.065822947,0.092489613,0.065822947,0.065822947,0.065822947,0.065822947
"145",95324,"San Salvador, El Salvador",557,13.64538,-89.17981,"South America",0.062103563,0.118103623,0.062103563,0.062103563,0.062103563,0.062103563
"146",95789,"San Luis Obispo, California, United States of America",557,35.26423,-120.7014,"North America",0.076497815,0.082915397,0.055806061,0.055778885,0.054786686,0.108745762
"147",97742,"Shenyang, China",557,41.96069,123.1161,"Asia",0.06682171,0.084571181,0.062489505,0.062489505,0.062489505,0.062489505
"148",97959,"Sheridan (and vicinity), Wyoming, United States of America",464,44.80386,-106.93957,"North America",0.065556139,0.071219094,0.06013446,0.06013446,0.06013446,0.06013446
"149",99292,"Salta (and vicinity), Argentina",464,-24.788232,-65.409095,"South America",0.06627983,0.072404918,0.065790605,0.065790605,0.065790605,0.065790605
"150",99323,"Salt Lake City, Utah, United States of America",557,40.7424,-111.8529,"North America",0.113684506,0.118154205,0.073486738,0.053100276,0.050690182,0.076536205
"151",99416,"Saranac Lake, New York, United States of America",557,44.34541,-74.25569,"North America",0.057530866,0.072358798,0.057530866,0.057530866,0.057530866,0.06463474
"152",100005,"Ile Sainte-Marie, Madagascar",557,-16.91427,49.89516,"Africa",0.051807153,0.051807153,0.051807153,0.051807153,0.051807153,0.051807153
"153",100656,"Sorong, Indonesia",557,-0.865999,131.3223,"Asia",0.064935065,0.12987013,0.064935065,0.064935065,0.064935065,0.064935065
"154",100904,"Saipan, Northern Mariana Islands",464,15.214391,145.71739,"Australia",0.080728381,0.075460079,0.0647267,0.0647267,0.0647267,0.0647267
"155",101028,"Split, Croatia",557,43.51387,16.50192,"Europe",0.061766903,0.061843819,0.056762156,0.090758854,0.056578067,0.056578067
"156",101245,"Semarang, Indonesia",557,-7.01115,110.3905,"Asia",0.068053492,0.096754301,0.062757659,0.068053492,0.062757659,0.062757659
"157",102485,"Suva, Fiji",557,-18.12069,178.4536,"Australia",0.066318935,0.101020856,0.064342925,0.064342925,0.064342925,0.064342925
"158",103694,"Sydney, New South Wales, Australia",557,-33.867,151.2108,"Australia",0.11162398,0.100107938,0.058920575,0.301406011,0.046168267,0.046482897
"159",104655,"Tartu, Estonia",557,58.37468,26.72553,"Europe",0.065127124,0.074000737,0.065127124,0.065127124,0.065127124,0.084270846
"160",106670,"Taif, Saudi Arabia",557,21.39462,40.51751,"Asia",0.066387699,0.072336539,0.066387699,0.066387699,0.066387699,0.066387699
"161",106732,"Tijuana (and vicinity), Baja California Norte, Mexico",464,32.519478,-117.012133,"South America",0.07540812,0.101517902,0.064478319,0.058423686,0.058423686,0.064478333
"162",107290,"Tok, Alaska, United States of America",557,63.32952,-142.996,"North America",0.066395101,0.066395101,0.066395101,0.066395101,0.066395101,0.066395101
"163",107755,"Tlemcen, Algeria",557,34.87365,-1.302338,"Africa",0.062893082,0.125786163,0.062893082,0.062893082,0.062893082,0.062893082
"164",108189,"Sao Tome Island, Sao Tome and Principe",557,0.220876,6.619432,"Africa",0.065897565,0.068485557,0.065897565,0.065897565,0.065897565,0.065897565
"165",108623,"Antananarivo, Madagascar",557,-18.90039,47.51458,"Africa",0.064023188,0.068169034,0.061968003,0.061968003,0.061968003,0.066138247
"166",108685,"Tioman Island, Malaysia",557,2.789838,104.1765,"Asia",0.070972429,0.058215027,0.057483177,0.057483177,0.057483177,0.057483177
"167",110049,"Timisoara, Romania",557,45.73935,21.28229,"Europe",0.062070076,0.081771656,0.062070076,0.062070076,0.062070076,0.07391012
"168",110266,"Tottori, Japan",557,35.43969,134.1547,"Asia",0.064805356,0.070506188,0.064805356,0.064805356,0.064805356,0.087927922
"169",110793,"Tunis, Tunisia",557,36.80352,10.17164,"Africa",0.072594697,0.102495929,0.063874251,0.063874251,0.063874251,0.063874251
"170",110824,"Taupo, New Zealand",557,-38.69542,176.0834,"Australia",0.072148343,0.064541238,0.057780816,0.058000752,0.057780816,0.083895897
"171",111258,"Tawau, Malaysia",557,4.332791,117.9588,"Asia",0.066506436,0.072018355,0.066506436,0.066506436,0.066506436,0.066506436
"172",111878,"Columbus (and vicinity), Mississippi, United States of America",464,33.516849,-88.427,"North America",0.061975352,0.083979297,0.064189439,0.061373559,0.061373559,0.083202899
"173",114606,"Valdez, Alaska, United States of America",557,61.1273,-146.3214,"North America",0.05921159,0.064492359,0.05921159,0.127636774,0.05921159,0.05921159
"174",114978,"Spanish Town, Virgin Gorda, British Virgin Islands",557,18.46826,-64.41988,"South America",0.062872644,0.065240628,0.062872644,0.062872644,0.062872644,0.062872644
"175",116125,"Vientiane, Laos",557,17.98119,102.609,"Asia",0.060804541,0.072038329,0.060804541,0.060804541,0.060804541,0.060804541
"176",116404,"Sao Vicente, Cape Verde",557,16.8436,-24.9848,"Africa",0.065555904,0.070317809,0.065555904,0.076630076,0.065555904,0.065555904
"177",118512,"Worland (and vicinity), Wyoming, United States of America",464,44.02078,-107.95581,"North America",0.069553289,0.06573539,0.063903721,0.063903721,0.063903721,0.063903721
"178",121643,"Deer Lake, Newfoundland and Labrador, Canada",557,49.16787,-57.45962,"North America",0.06416735,0.06561056,0.06416735,0.06416735,0.06416735,0.06416735
"179",122976,"Hamilton (and vicinity), Ontario, Canada",464,43.25761,-79.8723,"North America",0.091226062,0.106534036,0.065342553,0.061007942,0.060632692,0.073976533
"180",123255,"Yichang, China",557,30.74599,111.1464,"Asia",0.069198894,0.126644295,0.064135926,0.064135926,0.064135926,0.064135926
"181",123472,"Kamloops (and vicinity), British Columbia, Canada",464,50.67158,-120.352141,"North America",0.087900057,0.079888412,0.061269939,0.059235909,0.063237242,0.071140651
"182",123627,"Yankton, South Dakota, United States of America",557,42.91335,-97.45016,"North America",0.06669347,0.06428054,0.062374326,0.062374326,0.062374326,0.062374326
"183",124402,"Yanbu, Saudi Arabia",557,24.39513,37.97019,"Asia",0.072243057,0.116661867,0.065188383,0.065188383,0.065188383,0.065188383
"184",124681,"Yantai, China",557,37.43834,120.8135,"Asia",0.065995963,0.085974166,0.065380821,0.065380821,0.065380821,0.065380821
"185",124929,"Prince Albert, Saskatchewan, Canada",557,53.20098,-105.7214,"North America",0.064759763,0.074796339,0.064771901,0.064759763,0.064759763,0.064759763
