"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Continent","Activity_Adventure","Activity_Biking","Activity_Birdwatching","Activity_Boating","Activity_Camping","Activity_Cave_Exploring","Activity_Dancing","Activity_Diving","Activity_Ecotourism","Activity_Excursions","Activity_Ferry","Activity_Fishing","Activity_Horseracing","Activity_Horseback_Riding","Activity_Hunting","Activity_Iceskating","Activity_Kayaking","Activity_Kitesurfing","Activity_Rafting","Activity_Rockclimbing","Activity_Rowing","Activity_Sailing","Activity_Segway_Tours","Activity_Shopping","Activity_Sightseeing","Activity_Skydiving","Activity_Sledding","Activity_Snorkeling","Activity_Snowtubing","Activity_Snowmobile_Riding","Activity_Snowshoeing","Activity_Stargazing","Activity_Surfing","Activity_Swimming","Activity_Walking","Activity_Waterskiing","Activity_Whalewatching","Activity_Windsurfing"
"11",13980,"Appleton - Lake Winnebago (and vicinity), Wisconsin, United States of America",464,44.26222,-88.46827,"North America",0.060574819,0.092428964,0.059030696,0.081710798,0.060331868,0.059030696,0.059096133,0.05928805,0.060317466,0.059030696,0.067485087,0.082483659,0.059030696,0.05928805,0.059030696,0.05928805,0.060656903,0.059030696,0.05928805,0.059030696,0.059545404,0.060060112,0.059030696,0.101873664,0.071208167,0.059545404,0.059802758,0.05928805,0.059545404,0.060574819,0.06566487,0.059030696,0.059030696,0.102681809,0.069734008,0.060832173,0.059030696,0.059802758
"12",14011,"Watertown, South Dakota, United States of America",557,44.93607,-97.09045,"North America",0.066557941,0.062503045,0.061703365,0.064102406,0.081708697,0.061703365,0.066557941,0.061703365,0.061703365,0.061703365,0.061703365,0.073290523,0.061703365,0.092663149,0.064268671,0.061703365,0.061703365,0.061703365,0.066557941,0.061703365,0.061703365,0.062503045,0.061703365,0.097741025,0.066054233,0.061703365,0.061703365,0.061703365,0.061703365,0.061703365,0.061703365,0.061703365,0.061703365,0.067852978,0.089194436,0.064102406,0.061703365,0.061703365
"13",14166,"Abu Dhabi, United Arab Emirates",557,24.45503,54.50751,"Asia",0.065191934,0.0603976,0.056954803,0.076306489,0.069247895,0.056954803,0.08795931,0.070904303,0.057336638,0.056954803,0.06355812,0.061819889,0.056954803,0.061438054,0.056954803,0.056954803,0.062964567,0.056954803,0.057336638,0.056954803,0.057336638,0.066048926,0.056954803,0.113408328,0.068714199,0.057718473,0.056954803,0.064300986,0.056954803,0.057082081,0.057082081,0.056954803,0.057336638,0.085078437,0.071290895,0.058635624,0.056954803,0.058736699
"14",14569,"Avignon, France",774,43.94932,4.816989,"Europe",0.062187787,0.086380783,0.062187787,0.062550737,0.063230602,0.062187787,0.079088282,0.062187787,0.062187787,0.063197067,0.062187787,0.062550737,0.062187787,0.062187787,0.062187787,0.062187787,0.062913687,0.062187787,0.062913687,0.062187787,0.062187787,0.062550737,0.062187787,0.088886246,0.066965783,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062187787,0.062550737,0.076403302,0.097325327,0.062550737,0.062187787,0.062550737
"15",14755,"Anguilla (all), Anguilla",464,18.180819,-63.134483,"South America",0.064786977,0.069875526,0.071354424,0.115680383,0.05844795,0.058869375,0.07650441,0.070718376,0.05844795,0.07993108,0.105096146,0.072262825,0.05844795,0.071354424,0.05844795,0.05844795,0.073318042,0.066504124,0.05844795,0.058869375,0.058869375,0.072518,0.05844795,0.064562526,0.066504124,0.0592908,0.05844795,0.106018259,0.05844795,0.05844795,0.05844795,0.05844795,0.0677684,0.087350007,0.06632889,0.062349045,0.058869375,0.060133651
"16",15034,"Antalya, Turkey",557,36.89298,30.77626,"Europe",0.066346526,0.062190059,0.057397778,0.10787962,0.057397778,0.057397778,0.061177701,0.066002326,0.057397778,0.071896796,0.057485256,0.078215594,0.057397778,0.065659678,0.057397778,0.057397778,0.059322301,0.057397778,0.067409245,0.061405912,0.058360039,0.076370972,0.057397778,0.114846551,0.058237962,0.06150926,0.057397778,0.058534996,0.057397778,0.057397778,0.057397778,0.057397778,0.057835169,0.103779524,0.077341976,0.06098439,0.057397778,0.059234823
"17",15499,"Baotou, China",557,41.60901,110.2638,"Asia",0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.079467261,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.065861819,0.071692723,0.065861819,0.065861819,0.065861819,0.065861819
"18",15902,"Bacolod, Philippines",557,10.6775,122.952,"Asia",0.080975051,0.060725836,0.060725836,0.066136157,0.060725836,0.060725836,0.088543249,0.065035913,0.060725836,0.065446357,0.066136157,0.060725836,0.060725836,0.069836501,0.060725836,0.060725836,0.065035913,0.065035913,0.065035913,0.060725836,0.060725836,0.060725836,0.060725836,0.079805956,0.074432706,0.060725836,0.060725836,0.060725836,0.060725836,0.060725836,0.060725836,0.060725836,0.060725836,0.079243951,0.081112076,0.060725836,0.065035913,0.065035913
"19",16801,"Bethel, Alaska, United States of America",557,60.79359,-161.8039,"North America",0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.083817218,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.083817218,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205
"20",16987,"Bradford, Pennsylvania, United States of America",557,41.91562,-78.76539,"North America",0.073289882,0.064375497,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.065224898,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.087935561,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.063526095,0.068566217,0.064364035,0.063526095,0.063526095,0.063526095
"21",18568,"Bujumbura, Burundi",557,-3.390973,29.3582,"Africa",0.062011075,0.066725951,0.072540192,0.102802087,0.062011075,0.062011075,0.069306926,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.069306926,0.062806874,0.062011075,0.070102725,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062011075,0.062806874,0.100685539,0.069306926,0.062011075,0.062011075,0.062011075
"22",18847,"Bangkok, Thailand",557,13.7704,100.6211,"Asia",0.051654009,0.066232048,0.051154703,0.09198417,0.051245197,0.051154703,0.07429301,0.071870169,0.051794762,0.055690698,0.069607698,0.051154703,0.051154703,0.073476681,0.051154703,0.051154703,0.051154703,0.051154703,0.051154703,0.051154703,0.051194707,0.05123471,0.05123471,0.242013179,0.053936356,0.051154703,0.051154703,0.051154703,0.051154703,0.051154703,0.051154703,0.051154703,0.054903482,0.097505996,0.130352658,0.051154703,0.051194707,0.051194707
"23",21296,"Barquisimeto, Venezuela",557,10.03041,-69.31138,"South America",0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.120481928,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.060240964,0.180722892,0.060240964,0.060240964,0.060240964,0.060240964
"24",21327,"Bern, Switzerland",557,46.9477,7.40662,"Europe",0.062305518,0.069101561,0.062305518,0.062305518,0.062305518,0.062305518,0.081770887,0.062305518,0.062305518,0.062305518,0.062305518,0.06381575,0.062305518,0.06381575,0.062305518,0.062305518,0.063060634,0.062305518,0.062305518,0.062305518,0.062305518,0.062305518,0.062305518,0.090608624,0.062305518,0.062305518,0.062305518,0.062305518,0.062305518,0.062305518,0.062305518,0.062305518,0.062305518,0.083281119,0.104773239,0.062305518,0.062305518,0.062305518
"25",22319,"Buenos Aires, Argentina",557,-34.61037,-58.44113,"South America",0.068634534,0.077209982,0.055465757,0.075265153,0.055465757,0.055465757,0.118002752,0.055507354,0.055689195,0.060030227,0.070355869,0.055465757,0.055465757,0.055465757,0.055465757,0.055465757,0.055548951,0.055465757,0.055465757,0.055465757,0.065011769,0.056089714,0.055465757,0.152645296,0.062498329,0.065344546,0.055465757,0.055465757,0.055465757,0.055465757,0.055465757,0.055465757,0.055507354,0.062074177,0.109954487,0.055548951,0.055465757,0.055673743
"26",23373,"Dibba, Oman",557,25.65178,56.21976,"Asia",0.0658809,0.067395822,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.100383513,0.0658809,0.0658809,0.0658809,0.067395822,0.0658809,0.0658809,0.0658809,0.0658809,0.067395822,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.067395822,0.0658809,0.0658809,0.0658809,0.0658809
"27",23590,"Bozeman (and vicinity), Montana, United States of America",464,45.69789,-111.04859,"North America",0.066059973,0.06814992,0.062189167,0.064273803,0.063681567,0.062189167,0.062189167,0.062189167,0.062189167,0.062189167,0.062189167,0.063787621,0.062189167,0.062802074,0.06263067,0.063549922,0.064794962,0.062189167,0.067719195,0.062710326,0.062189167,0.063752644,0.062189167,0.087656909,0.062189167,0.063231485,0.062710326,0.062189167,0.062710326,0.064794962,0.064273803,0.062189167,0.062189167,0.092847032,0.097270743,0.064273803,0.062189167,0.062710326
"28",23683,"Brazzaville, Republic of the Congo",557,-4.237149,15.29222,"Africa",0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.069908002,0.066913093,0.066913093,0.066913093,0.066913093
"29",23776,"Cascavel (Parana), Brazil",557,-24.95574,-53.43666,"South America",0.065889955,0.068463958,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.068463958,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.073611963,0.065889955,0.065889955,0.065889955,0.065889955
"30",24954,"Crescent City, California, United States of America",557,41.77528,-124.0064,"North America",0.060957266,0.067881291,0.060957266,0.091883202,0.065260598,0.060957266,0.070202298,0.060957266,0.060957266,0.060957266,0.060957266,0.061272635,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.066442375,0.07098463,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.060957266,0.062584454,0.071159152,0.112693978,0.060957266,0.060957266,0.0618731
"31",25574,"Cologne, Germany",557,50.94614,6.973173,"Europe",0.061380132,0.07179098,0.061380132,0.061810803,0.061380132,0.061380132,0.061859465,0.061563517,0.061563517,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061746902,0.063580755,0.126108633,0.065930224,0.061380132,0.061380132,0.061380132,0.061380132,0.061380132,0.061563517,0.061380132,0.061380132,0.067261072,0.108864724,0.061380132,0.061380132,0.061380132
"32",26194,"Chipata, Zambia",557,-13.63118,32.63906,"Africa",0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.070023191,0.066970688,0.066970688,0.066970688,0.066970688
"33",26814,"College Station (and vicinity), Texas, United States of America",464,30.62921,-96.31858,"North America",0.065386109,0.061780001,0.059151672,0.063310412,0.060157778,0.059151672,0.069580619,0.059151672,0.059563568,0.063462008,0.059151672,0.059151672,0.059151672,0.077125448,0.059151672,0.059151672,0.059151672,0.059151672,0.059151672,0.059151672,0.059151672,0.059151672,0.059151672,0.085041821,0.059151672,0.059975464,0.059151672,0.059151672,0.059151672,0.059151672,0.059151672,0.059151672,0.059151672,0.077107601,0.08984886,0.059151672,0.059151672,0.059151672
"34",26969,"Charlotte, North Carolina, United States of America",557,35.22723,-80.8362,"North America",0.053767662,0.059261999,0.052584262,0.055197381,0.052681251,0.052584262,0.060831398,0.05296927,0.054006485,0.052584262,0.052584262,0.05296927,0.052584262,0.053241716,0.052584262,0.052584262,0.055664325,0.052584262,0.056241836,0.053161774,0.052584262,0.054894309,0.053161774,0.1177095,0.058049845,0.053739286,0.052584262,0.052584262,0.052584262,0.052776766,0.053161774,0.052584262,0.052776766,0.081396109,0.140845046,0.055279317,0.052588711,0.05393179
"35",27217,"Columbus, Ohio, United States of America",557,39.98415,-82.98585,"North America",0.079703692,0.062560546,0.057070333,0.058012041,0.057539605,0.057070333,0.057908485,0.05730576,0.058247468,0.057070333,0.057070333,0.05730576,0.057070333,0.05929133,0.057070333,0.057070333,0.057541187,0.057070333,0.057070333,0.057070333,0.057070333,0.057776614,0.05730576,0.152412125,0.057070333,0.05730576,0.057070333,0.057070333,0.057070333,0.057070333,0.057070333,0.057070333,0.057070333,0.099502894,0.102458259,0.057776614,0.057070333,0.057070333
"36",27310,"Club Makokola, Mangochi, Malawi",557,-14.30099,35.11935,"Africa",0.066727253,0.066727253,0.066727253,0.068205449,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.068205449,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.068205449,0.066727253,0.066727253,0.066727253,0.066727253
"37",27341,"Clermont, Queensland, Australia",557,-22.7198,147.4383,"Australia",0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.129032258,0.064516129,0.064516129,0.064516129,0.064516129
"38",27837,"Coeur d'Alene, Idaho, United States of America",557,47.64194,-116.7035,"North America",0.07457623,0.073953102,0.058928887,0.075919703,0.06353581,0.058928887,0.058928887,0.059574132,0.058928887,0.058928887,0.058928887,0.060219376,0.058928887,0.059574132,0.058928887,0.058928887,0.07457623,0.058928887,0.062800354,0.058928887,0.058928887,0.061509865,0.058928887,0.133167045,0.058928887,0.06215511,0.058928887,0.059574132,0.059574132,0.061509865,0.061509865,0.058928887,0.059574132,0.120432406,0.094999845,0.064090844,0.058928887,0.060219376
"39",28240,"Copiapo, Chile",557,-27.3642,-70.33157,"South America",0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.069539243,0.066563052,0.066563052,0.066563052,0.066563052
"40",28953,"Chengdu, China",557,30.69975,103.8605,"Asia",0.059798921,0.060228069,0.059798921,0.059798921,0.067112687,0.059798921,0.091867695,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.060228069,0.060013495,0.106492464,0.069251827,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.059798921,0.066401178,0.109516779,0.059906208,0.059798921,0.059798921
"41",28984,"Cucuta, Colombia",557,7.907297,-72.50908,"South America",0.071804534,0.069893415,0.064992795,0.069893415,0.069893415,0.064992795,0.064992795,0.069893415,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.071804534,0.064992795,0.064992795,0.064992795,0.064992795,0.07988623,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.070011196,0.064992795,0.064992795,0.064992795,0.064992795
"42",29046,"Culiacan (and vicinity), Sinaloa, Mexico",464,24.813196,-107.401922,"South America",0.07526633,0.063989413,0.062611813,0.08139844,0.062611813,0.062611813,0.068149659,0.062611813,0.062611813,0.062611813,0.062611813,0.085654949,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.068455312,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.062611813,0.07021606,0.071419661,0.069728484,0.07526633,0.062611813
"43",29108,"Cancun, Quintana Roo, Mexico",557,21.12304,-86.88591,"South America",0.061391966,0.049249322,0.046237543,0.083863677,0.046636466,0.046311487,0.071635912,0.081728697,0.04653332,0.058570334,0.055906212,0.056419619,0.046237543,0.046433603,0.046331654,0.046237543,0.050692092,0.046237543,0.046629052,0.046543087,0.046385432,0.052338522,0.046385432,0.087679399,0.051037239,0.052386204,0.046237543,0.084721618,0.046311487,0.046237543,0.046237543,0.046237543,0.051522085,0.127134129,0.070967583,0.050390101,0.053862436,0.051225581
"44",30286,"Dhaka, Bangladesh",557,23.78061,90.40796,"Asia",0.067277697,0.066383525,0.061376673,0.081172796,0.061376673,0.061376673,0.061376673,0.061376673,0.061832046,0.061376673,0.068225156,0.070228209,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.068225156,0.068225156,0.061376673,0.070046649,0.068225156,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.061376673,0.077954816,0.069840175,0.061376673,0.061376673,0.061376673
"45",30782,"Dodge City, Kansas, United States of America",557,37.74656,-100.0187,"North America",0.070276441,0.061228238,0.060493106,0.064760491,0.064586595,0.060493106,0.07738875,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.064442626,0.077562646,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.073295261,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.060493106,0.077224298,0.076704982,0.060493106,0.060493106,0.060493106
"46",31216,"Durango, Durango, Mexico",557,24.03852,-104.6613,"South America",0.066444027,0.066950047,0.062073191,0.066444027,0.062073191,0.062073191,0.079556536,0.062073191,0.062073191,0.066444027,0.062073191,0.062073191,0.062073191,0.062073191,0.062073191,0.062073191,0.062073191,0.062073191,0.066444027,0.062073191,0.062073191,0.062073191,0.062073191,0.076075998,0.062073191,0.062073191,0.062073191,0.062073191,0.062073191,0.062073191,0.062073191,0.062073191,0.062073191,0.069806785,0.0824552,0.062073191,0.062073191,0.062073191
"47",31402,"Dijon, France",557,47.3233,5.039531,"Europe",0.062359682,0.092651403,0.062359682,0.063048672,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.063737662,0.062359682,0.062359682,0.062359682,0.062359682,0.063048672,0.063048672,0.084495094,0.063527312,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.093836902,0.104870253,0.063048672,0.062359682,0.063048672
"48",31960,"Geilo, Hol, Norway",557,60.53467,8.206244,"Europe",0.070426508,0.070426508,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.067427707,0.066428107,0.069426908,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.066428107,0.067427707,0.066428107,0.066428107,0.068427307,0.068427307,0.066428107,0.066428107,0.071426108,0.067427707,0.066428107,0.066428107,0.066428107
"49",32053,"Da Lat, Vietnam",557,11.92321,108.4671,"Asia",0.063875532,0.079957106,0.059927463,0.069224393,0.059927463,0.059927463,0.064883365,0.059927463,0.060361152,0.059927463,0.059927463,0.060794841,0.059927463,0.069363248,0.059927463,0.059927463,0.060361152,0.059927463,0.059927463,0.07240194,0.059927463,0.059927463,0.059927463,0.087127463,0.063875532,0.063875532,0.059927463,0.059927463,0.059927463,0.059927463,0.059927463,0.059927463,0.059927463,0.065610287,0.063477812,0.059927463,0.059927463,0.059927463
