"","destination_id","Destination_name","destination_type_id","destination_latitude","destination_longitude","Continent","Entertainment_Aquarium","Entertainment_Casino","Entertainment_Entertainment","Entertainment_Family_Friendly","Entertainment_Jazz","Entertainment_Live_Music","Entertainment_Musicals","Entertainment_Nightclubs","Entertainment_Nightlife","Entertainment_Opera","Entertainment_Theater","Entertainment_Themepark","Entertainment_Tours","Entertainment_Waterparks","Entertainment_Zoo"
"11",13980,"Appleton - Lake Winnebago (and vicinity), Wisconsin, United States of America",464,44.26222,-88.46827,"North America",0.059030696,0.05928805,0.059746139,0.121497275,0.059030696,0.082262811,0.059505942,0.059765144,0.05928805,0.059030696,0.059768573,0.060331868,0.108642337,0.067053911,0.067485087
"12",14011,"Watertown, South Dakota, United States of America",557,44.93607,-97.09045,"North America",0.061703365,0.074237105,0.066557941,0.086011882,0.061703365,0.061703365,0.061703365,0.066557941,0.061703365,0.061703365,0.072075537,0.061703365,0.106795887,0.064407201,0.061703365
"13",14166,"Abu Dhabi, United Arab Emirates",557,24.45503,54.50751,"Asia",0.06355812,0.056954803,0.070576828,0.094596493,0.057424934,0.072381033,0.056954803,0.068737828,0.059315719,0.056954803,0.058517579,0.097412701,0.097073577,0.080933818,0.066199422
"14",14569,"Avignon, France",774,43.94932,4.816989,"Europe",0.062187787,0.062187787,0.064365487,0.075323281,0.062187787,0.063198843,0.062187787,0.063172421,0.062550737,0.062187787,0.080042581,0.062187787,0.096291368,0.062187787,0.062187787
"15",14755,"Anguilla (all), Anguilla",464,18.180819,-63.134483,"South America",0.05844795,0.05844795,0.06329825,0.090292945,0.062942376,0.07523045,0.06329825,0.06212257,0.05844795,0.05844795,0.06329825,0.05844795,0.085670316,0.05844795,0.05844795
"16",15034,"Antalya, Turkey",557,36.89298,30.77626,"Europe",0.058823199,0.057397778,0.087254369,0.093391615,0.057989409,0.062437378,0.057397778,0.072306247,0.066696876,0.057397778,0.071021814,0.058622474,0.102972401,0.064209837,0.057397778
"17",15499,"Baotou, China",557,41.60901,110.2638,"Asia",0.065861819,0.069749089,0.065861819,0.081410896,0.065861819,0.065861819,0.065861819,0.077523627,0.077523627,0.065861819,0.065861819,0.065861819,0.067805454,0.065861819,0.065861819
"18",15902,"Bacolod, Philippines",557,10.6775,122.952,"Asia",0.060725836,0.065446357,0.060725836,0.078481956,0.060725836,0.065035913,0.060725836,0.069836501,0.065035913,0.060725836,0.069756434,0.060725836,0.070812301,0.069836501,0.069836501
"19",16801,"Bethel, Alaska, United States of America",557,60.79359,-161.8039,"North America",0.066326205,0.066326205,0.066326205,0.069438561,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205,0.066326205
"20",16987,"Bradford, Pennsylvania, United States of America",557,41.91562,-78.76539,"North America",0.063526095,0.067538006,0.063526095,0.082714797,0.063526095,0.063526095,0.063526095,0.067359148,0.063526095,0.063526095,0.063526095,0.063526095,0.086598364,0.063526095,0.068209051
"21",18568,"Bujumbura, Burundi",557,-3.390973,29.3582,"Africa",0.062011075,0.062011075,0.072540192,0.063602672,0.062011075,0.081969943,0.062011075,0.062011075,0.062011075,0.062011075,0.081969943,0.062011075,0.083019236,0.062011075,0.075593427
"22",18847,"Bangkok, Thailand",557,13.7704,100.6211,"Asia",0.075303085,0.051154703,0.068455666,0.11133482,0.051729047,0.059883798,0.055098804,0.087351821,0.057357282,0.051202928,0.090101439,0.054315863,0.133557442,0.051154703,0.059071099
"23",21296,"Barquisimeto, Venezuela",557,10.03041,-69.31138,"South America",0.060240964,0.060240964,0.060240964,0.120481928,0.060240964,0.060240964,0.060240964,0.120481928,0.120481928,0.060240964,0.060240964,0.060240964,0.180722892,0.060240964,0.060240964
"24",21327,"Bern, Switzerland",557,46.9477,7.40662,"Europe",0.062305518,0.064310061,0.063060634,0.076331015,0.081770887,0.081770887,0.062305518,0.063989988,0.063060634,0.062305518,0.081770887,0.062305518,0.089322047,0.067137766,0.081770887
"25",22319,"Buenos Aires, Argentina",557,-34.61037,-58.44113,"South America",0.055465757,0.056630478,0.065895911,0.067312691,0.065014547,0.081371195,0.055465757,0.066533527,0.062690541,0.072599919,0.079044968,0.056630478,0.139758912,0.055507354,0.055601218
"26",23373,"Dibba, Oman",557,25.65178,56.21976,"Asia",0.0658809,0.0658809,0.0658809,0.067395822,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809,0.0658809
"27",23590,"Bozeman (and vicinity), Montana, United States of America",464,45.69789,-111.04859,"North America",0.062189167,0.065311547,0.06327887,0.100372548,0.062189167,0.063308831,0.062189167,0.06582275,0.062811673,0.062189167,0.062189167,0.062710326,0.068141798,0.062189167,0.062189167
"28",23683,"Brazzaville, Republic of the Congo",557,-4.237149,15.29222,"Africa",0.066913093,0.066913093,0.066913093,0.069908002,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093,0.066913093
"29",23776,"Cascavel (Parana), Brazil",557,-24.95574,-53.43666,"South America",0.065889955,0.065889955,0.065889955,0.071037961,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.065889955,0.073611963,0.065889955,0.110756226
"30",24954,"Crescent City, California, United States of America",557,41.77528,-124.0064,"North America",0.088692364,0.065235464,0.065235464,0.091580167,0.060957266,0.067975359,0.060957266,0.065391414,0.060957266,0.060957266,0.060957266,0.065235464,0.098706444,0.060957266,0.060957266
"31",25574,"Cologne, Germany",557,50.94614,6.973173,"Europe",0.061380132,0.061380132,0.067243015,0.085693236,0.061380132,0.065101444,0.061380132,0.064804763,0.062766684,0.061380132,0.061741864,0.062113673,0.092467608,0.061380132,0.061380132
"32",26194,"Chipata, Zambia",557,-13.63118,32.63906,"Africa",0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.070023191,0.066970688,0.066970688
"33",26814,"College Station (and vicinity), Texas, United States of America",464,30.62921,-96.31858,"North America",0.064562318,0.059151672,0.096501303,0.116062639,0.065242573,0.075119572,0.068872653,0.059408867,0.059151672,0.059151672,0.0732773,0.059151672,0.071839577,0.064562318,0.064562318
"34",26969,"Charlotte, North Carolina, United States of America",557,35.22723,-80.8362,"North America",0.052584262,0.052584262,0.108150479,0.117400136,0.052688681,0.122632032,0.076709874,0.058825291,0.057852307,0.052584262,0.140384102,0.056406499,0.11555872,0.055512509,0.052584262
"35",27217,"Columbus, Ohio, United States of America",557,39.98415,-82.98585,"North America",0.057070333,0.059756229,0.083526753,0.125257278,0.057289961,0.122901261,0.057578948,0.061157291,0.058215076,0.057070333,0.106460803,0.057776614,0.084885797,0.058375212,0.070935124
"36",27310,"Club Makokola, Mangochi, Malawi",557,-14.30099,35.11935,"Africa",0.066727253,0.066727253,0.066727253,0.068205449,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.066727253,0.068205449,0.066727253,0.066727253
"37",27341,"Clermont, Queensland, Australia",557,-22.7198,147.4383,"Australia",0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.064516129,0.129032258,0.064516129,0.064516129
"38",27837,"Coeur d'Alene, Idaho, United States of America",557,47.64194,-116.7035,"North America",0.058928887,0.059574132,0.06071953,0.141137369,0.058928887,0.059519386,0.058928887,0.060558304,0.059574132,0.058928887,0.066309756,0.071440756,0.062800354,0.069805392,0.058928887
"39",28240,"Copiapo, Chile",557,-27.3642,-70.33157,"South America",0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052,0.066563052
"40",28953,"Chengdu, China",557,30.69975,103.8605,"Asia",0.059798921,0.060013495,0.081387914,0.097838868,0.059798921,0.070071829,0.069251827,0.066758571,0.0692158,0.069251827,0.069251827,0.075530171,0.090584399,0.075101024,0.075101024
"41",28984,"Cucuta, Colombia",557,7.907297,-72.50908,"South America",0.064992795,0.06900166,0.064992795,0.067501996,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.064992795,0.081686795,0.064992795,0.064992795
"42",29046,"Culiacan (and vicinity), Sinaloa, Mexico",464,24.813196,-107.401922,"South America",0.062611813,0.063300613,0.063300613,0.07159366,0.062611813,0.066868322,0.068149659,0.062611813,0.062611813,0.062611813,0.07526633,0.069527259,0.079070454,0.07526633,0.062611813
"43",29108,"Cancun, Quintana Roo, Mexico",557,21.12304,-86.88591,"South America",0.06461259,0.046867232,0.113833314,0.145257126,0.046433689,0.081917287,0.050830548,0.071913962,0.056050194,0.046237543,0.05479205,0.048421411,0.090018115,0.061743296,0.046237543
"44",30286,"Dhaka, Bangladesh",557,23.78061,90.40796,"Asia",0.061376673,0.061376673,0.061832046,0.065475033,0.061376673,0.061376673,0.061376673,0.063712811,0.061376673,0.061376673,0.061376673,0.068680529,0.117965659,0.061376673,0.061376673
"45",30782,"Dodge City, Kansas, United States of America",557,37.74656,-100.0187,"North America",0.060493106,0.104628995,0.064442626,0.120831693,0.060493106,0.064586595,0.064442626,0.060493106,0.060493106,0.060493106,0.114415057,0.060493106,0.080329277,0.060493106,0.08270109
"46",31216,"Durango, Durango, Mexico",557,24.03852,-104.6613,"South America",0.062073191,0.062073191,0.062073191,0.107962824,0.062073191,0.079556536,0.062073191,0.062073191,0.062073191,0.062073191,0.084433391,0.066950047,0.086227343,0.062073191,0.066950047
"47",31402,"Dijon, France",557,47.3233,5.039531,"Europe",0.062359682,0.062359682,0.063737662,0.080874564,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.062359682,0.077724169,0.062359682,0.062359682
"48",31960,"Geilo, Hol, Norway",557,60.53467,8.206244,"Europe",0.066428107,0.066428107,0.066428107,0.071426108,0.066428107,0.066428107,0.066428107,0.067427707,0.067427707,0.066428107,0.066428107,0.066428107,0.070426508,0.066428107,0.066428107
"49",32053,"Da Lat, Vietnam",557,11.92321,108.4671,"Asia",0.059927463,0.059927463,0.059927463,0.068335105,0.059927463,0.06168361,0.059927463,0.060361152,0.060361152,0.059927463,0.059927463,0.069363248,0.122941667,0.059927463,0.059927463
"50",32456,"Denizli, Turkey",557,37.87642,29.14919,"Europe",0.062170976,0.062170976,0.062170976,0.093039897,0.062170976,0.062170976,0.062170976,0.062686493,0.062686493,0.062170976,0.078633195,0.063202011,0.121959145,0.062170976,0.062170976
"51",33386,"Durban, South Africa",557,-29.84922,30.99178,"Africa",0.059114969,0.093258,0.076007165,0.104247285,0.063764015,0.070129447,0.059101673,0.061289446,0.059316528,0.063523432,0.086731362,0.072614439,0.080430422,0.059101673,0.059101673
"52",33944,"Kampala, Uganda",557,0.30793,32.57166,"Africa",0.060487022,0.086970425,0.087392936,0.070590834,0.060487022,0.064134873,0.060487022,0.064609471,0.060909534,0.060487022,0.063182819,0.060487022,0.117224217,0.060487022,0.060487022
"53",34223,"Edinburgh, Scotland, United Kingdom",557,55.94121,-3.224316,"Europe",0.049545082,0.049583858,0.05477314,0.106368708,0.049545082,0.084885264,0.049545082,0.065822211,0.05256437,0.049545082,0.088498081,0.049545082,0.148800629,0.049545082,0.06190063
"54",35122,"El Paso (and vicinity), Texas, United States of America",464,31.78105,-106.404565,"North America",0.059237483,0.061015988,0.079811983,0.110431432,0.059671534,0.065361487,0.059237483,0.064670873,0.060787511,0.059237483,0.078085924,0.059954398,0.068045932,0.063773148,0.065441232
"55",36331,"El Salvador, Chile",557,-26.14895,-69.62051,"South America",0.057188432,0.057188432,0.064065531,0.090037193,0.064065531,0.064065531,0.057188432,0.064065531,0.064065531,0.057188432,0.072903272,0.062899739,0.101695596,0.057188432,0.064803508
"56",36703,"New Bedford, Massachusetts, United States of America",557,41.66583,-70.93975,"North America",0.062924307,0.062924307,0.062924307,0.079369191,0.062924307,0.062924307,0.062924307,0.06988943,0.062924307,0.062924307,0.073635093,0.062924307,0.073635093,0.062924307,0.062924307
"57",37044,"Fajardo, Puerto Rico",557,18.32608,-65.65771,"South America",0.047177831,0.061868825,0.052684562,0.14288709,0.047177831,0.052585037,0.052900723,0.052622169,0.0535827,0.047177831,0.052900723,0.047177831,0.118191506,0.110983555,0.047177831
"58",37168,"Fresno, California, United States of America",557,36.70835,-119.8372,"North America",0.057807305,0.084839355,0.065126937,0.125673417,0.062018257,0.080963929,0.066586982,0.062013528,0.05780731,0.057807305,0.074370692,0.0584236,0.104083783,0.059686106,0.075936835
"59",37881,"Flagstaff, Arizona, United States of America",557,35.32666,-111.5108,"North America",0.054016062,0.062268398,0.059855487,0.169264541,0.054016122,0.057127113,0.054016062,0.059874534,0.055044212,0.054016062,0.056521282,0.054016062,0.11576409,0.054016062,0.058281607
"60",38718,"Freeport, Grand Bahama Island, Bahamas",557,26.54691,-78.62624,"South America",0.051296612,0.094189521,0.108406401,0.097053153,0.051296612,0.067304196,0.051296612,0.062053783,0.053817643,0.051296612,0.052825583,0.051296612,0.107040513,0.051695494,0.058009613
"61",39896,"Great Bend (and vicinity), Kansas, United States of America",464,38.36187,-98.783956,"North America",0.062099464,0.062099464,0.062099464,0.103588616,0.062099464,0.088293288,0.062099464,0.062099464,0.062099464,0.062099464,0.066287201,0.062099464,0.072814592,0.062099464,0.083749751
"62",41384,"Grand Junction (and vicinity), Colorado, United States of America",464,39.112646,-108.54066,"North America",0.056157853,0.056157853,0.069764232,0.129301155,0.056157853,0.073125382,0.056157853,0.109513108,0.057887186,0.056157853,0.056369347,0.056764575,0.060916911,0.056157853,0.056157853
"63",42810,"George, South Africa",557,-33.98348,22.4279,"Africa",0.065349279,0.065349279,0.065349279,0.069865991,0.065349279,0.065349279,0.065349279,0.065349279,0.065349279,0.065349279,0.065349279,0.065349279,0.077962584,0.065349279,0.065349279
"64",43399,"Gunnison, Colorado, United States of America",557,38.48177,-107.0868,"North America",0.063904389,0.063904389,0.063904389,0.083480829,0.063904389,0.063904389,0.063904389,0.063904389,0.063904389,0.063904389,0.063904389,0.063904389,0.069607049,0.063904389,0.063904389
"65",46065,"Hluhluwe, South Africa",557,-27.91931,32.21917,"Africa",0.066161025,0.066161025,0.066161025,0.072936093,0.066161025,0.066161025,0.066161025,0.066161025,0.066161025,0.066161025,0.066161025,0.067007909,0.07717051,0.066161025,0.066161025
"66",46902,"Princeville, Hawaii, United States of America",557,22.20893,-159.4733,"North America",0.057890646,0.057890646,0.057890646,0.094972405,0.057890646,0.060615614,0.057890646,0.067160914,0.057890646,0.057890646,0.057890646,0.057890646,0.076253554,0.057890646,0.057890646
"67",47088,"Harlingen, Texas, United States of America",557,26.18563,-97.72042,"North America",0.059626892,0.059626892,0.06063027,0.116041849,0.059626892,0.065765285,0.059626892,0.059626892,0.059626892,0.059626892,0.071202928,0.059626892,0.108003245,0.059626892,0.06343212
"68",47863,"Honningsvag, Nordkapp, Norway",557,70.98721,25.98217,"Europe",0.066757269,0.066757269,0.066757269,0.066757269,0.066757269,0.066757269,0.066757269,0.066757269,0.066757269,0.066757269,0.066757269,0.066757269,0.072364221,0.066757269,0.066757269
"69",47925,"Havre, Montana, United States of America",557,48.37663,-109.6558,"North America",0.060831661,0.091657686,0.060831661,0.074010443,0.060831661,0.060831661,0.060831661,0.060831661,0.060831661,0.060831661,0.060831661,0.060831661,0.090301358,0.060831661,0.060831661
"70",48514,"Idaho Falls (and vicinity), Idaho, United States of America",464,43.497752,-112.04716,"North America",0.055664862,0.055939473,0.055924997,0.111304391,0.055664862,0.064808001,0.055887196,0.06508267,0.064679075,0.055887196,0.061301067,0.072648056,0.088331664,0.055664862,0.061166147
"71",50467,"Iquitos (and vicinity), Peru",464,-3.752397,-73.246713,"South America",0.057048754,0.05940151,0.058617258,0.090130666,0.057048754,0.069018341,0.063726417,0.069802593,0.063372009,0.057048754,0.063726417,0.05940151,0.14641065,0.057048754,0.083285679
"72",50653,"Kirksville, Missouri, United States of America",557,40.15751,-92.59195,"North America",0.062640597,0.062640597,0.062640597,0.086878719,0.062640597,0.062640597,0.062640597,0.06390377,0.062640597,0.062640597,0.076636446,0.062640597,0.076829175,0.062640597,0.068946632
"73",51056,"Hilo, Hawaii, United States of America",557,19.71103,-155.2187,"North America",0.049688077,0.049688077,0.052422708,0.151826004,0.049688077,0.057441236,0.049688077,0.062037578,0.049702083,0.049688077,0.071273367,0.049688077,0.097114269,0.05366668,0.051211984
"74",51180,"Ivalo, Finland",557,68.65356,27.54374,"Europe",0.066047809,0.066047809,0.066047809,0.068656392,0.066047809,0.066047809,0.066047809,0.0673521,0.0673521,0.066047809,0.066047809,0.066047809,0.068656392,0.066047809,0.066047809
"75",51242,"Ironwood (and vicinity), Michigan, United States of America",464,46.46336,-90.17084,"North America",0.065559932,0.065559932,0.065559932,0.085751766,0.065559932,0.065559932,0.065559932,0.065559932,0.065559932,0.065559932,0.065559932,0.065559932,0.066850421,0.065559932,0.065559932
"76",53629,"Kilimanjaro, Moshi, Tanzania",557,-3.128317,37.33981,"Africa",0.065578425,0.066728909,0.065578425,0.087501109,0.065578425,0.065578425,0.065578425,0.066728909,0.066728909,0.065578425,0.065578425,0.065578425,0.071418777,0.065578425,0.065578425
"77",53660,"Jerusalem, Israel",557,31.77991,35.20602,"Europe",0.057458074,0.057458074,0.064944556,0.096152382,0.061634412,0.072209245,0.057458074,0.061439436,0.061808551,0.057458074,0.080447538,0.06231587,0.117280181,0.057458074,0.074873092
"78",53877,"Syros Island, Greece",464,37.42341,24.91609,"Europe",0.065371783,0.066047413,0.066047413,0.073771671,0.065371783,0.065371783,0.065371783,0.065371783,0.065371783,0.065371783,0.065371783,0.065371783,0.093335073,0.065371783,0.065371783
"79",53908,"Santorini Island, Greece",464,36.419936,25.430659,"Europe",0.05578608,0.05578608,0.057788672,0.102486547,0.05578608,0.086816754,0.05578608,0.069408089,0.055986245,0.05578608,0.071588356,0.055897335,0.115531382,0.059575663,0.05578608
"80",53939,"Astypalaia Island, Greece",464,36.55911,26.31314,"Europe",0.065988578,0.065988578,0.068058972,0.068058972,0.065988578,0.065988578,0.065988578,0.065988578,0.065988578,0.065988578,0.065988578,0.065988578,0.082551725,0.065988578,0.065988578
"81",54652,"Kalbarri, Western Australia, Australia",557,-27.69008,114.201,"Australia",0.065846732,0.065846732,0.065846732,0.086132267,0.065846732,0.065846732,0.065846732,0.065846732,0.065846732,0.065846732,0.065846732,0.065846732,0.06836119,0.065846732,0.065846732
"82",55179,"Kendari, Indonesia",557,-3.985,122.549,"Asia",0.066769625,0.066769625,0.066769625,0.069621065,0.066769625,0.066769625,0.066769625,0.066769625,0.066769625,0.066769625,0.066769625,0.066769625,0.072472505,0.066769625,0.066769625
"83",56264,"Nanchang, China",557,28.65184,116.0101,"Asia",0.065779813,0.066773305,0.065779813,0.077701724,0.065779813,0.065779813,0.065779813,0.073231007,0.073231007,0.065779813,0.065779813,0.065779813,0.071740768,0.065779813,0.065779813
"84",56481,"Niigata, Japan",557,37.84869,139.0167,"Asia",0.065965861,0.065965861,0.065965861,0.067138469,0.065965861,0.065965861,0.065965861,0.065965861,0.065965861,0.065965861,0.065965861,0.065965861,0.073001508,0.065965861,0.065965861
"85",57969,"Kostroma, Russia",557,57.78633,40.95428,"Europe",0.065850658,0.068267868,0.065850658,0.068267868,0.065850658,0.065850658,0.065850658,0.065850658,0.065850658,0.065850658,0.065850658,0.065850658,0.07793671,0.065850658,0.065850658
"86",58000,"Khamis Mushait, Saudi Arabia",557,18.29017,42.72308,"Asia",0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688,0.066970688
"87",58341,"Kununurra, Western Australia, Australia",557,-15.56053,128.8505,"Australia",0.063715412,0.063715412,0.063715412,0.067071867,0.063715412,0.063715412,0.063715412,0.063715412,0.063715412,0.063715412,0.063715412,0.063715412,0.089843678,0.063715412,0.063715412
"88",59426,"Krasnodar, Russia",557,45.06319,38.97216,"Europe",0.06497982,0.085719396,0.088957039,0.069296677,0.06497982,0.06497982,0.06497982,0.066059034,0.066059034,0.06497982,0.085719396,0.066059034,0.082786856,0.085719396,0.06497982
"89",59736,"Kassel, Germany",557,51.31094,9.459151,"Europe",0.064282359,0.064282359,0.064282359,0.069565444,0.064282359,0.064282359,0.064282359,0.064352712,0.064282359,0.064282359,0.064282359,0.064282359,0.069565444,0.064282359,0.064282359
"90",60356,"Katowice, Poland",557,50.23679,19.01677,"Europe",0.064657026,0.064657026,0.066350792,0.073921724,0.064657026,0.075751024,0.064657026,0.064657026,0.064657026,0.064657026,0.075751024,0.068044559,0.072278977,0.064657026,0.064657026
"91",62433,"Lawton, Oklahoma, United States of America",557,34.65826,-98.43703,"North America",0.067134449,0.094430041,0.071164391,0.105710116,0.06180355,0.068147248,0.067134449,0.06180355,0.06180355,0.06180355,0.076689985,0.062393242,0.073681293,0.066581318,0.067556556
"92",62557,"Lubbock, Texas, United States of America",557,33.59001,-101.8626,"North America",0.061196067,0.061196067,0.073319196,0.11394367,0.061196067,0.105188261,0.071348086,0.065631154,0.061196067,0.061196067,0.079452956,0.071348086,0.075617436,0.061196067,0.061196067
"93",64231,"Lahore, Pakistan",557,31.52982,74.35329,"Asia",0.06393429,0.06393429,0.06393429,0.081714671,0.06393429,0.068742255,0.06393429,0.06393429,0.06393429,0.06393429,0.06393429,0.070689729,0.06393429,0.06393429,0.070689729
"94",65905,"Liverpool, England, United Kingdom",557,53.45375,-2.936515,"Europe",0.071617912,0.054201242,0.058825257,0.115225701,0.054137885,0.103611719,0.058980927,0.065415806,0.061782413,0.054137885,0.118812843,0.054137885,0.105962226,0.054137885,0.054137885
"95",65998,"Luang Prabang, Laos",557,19.87801,102.1461,"Asia",0.059541535,0.059541535,0.060296993,0.110657485,0.059541535,0.065939168,0.059541535,0.062114495,0.059541535,0.059541535,0.059541535,0.059919264,0.096659258,0.059541535,0.059541535
"96",66432,"La Serena (and vicinity), Chile",464,-29.930496,-71.274738,"South America",0.066313313,0.067432725,0.066313313,0.071781978,0.066313313,0.066313313,0.066313313,0.067407046,0.067407046,0.066313313,0.066313313,0.067407046,0.070031481,0.066313313,0.066313313
"97",67114,"Lusaka, Zambia",557,-15.40669,28.33163,"Africa",0.061219003,0.061219003,0.061968103,0.080284925,0.061219003,0.065187666,0.061219003,0.06600264,0.062193187,0.061219003,0.061219003,0.061219003,0.0684431,0.061219003,0.061219003
"98",67734,"Luxor, Egypt",557,25.68963,32.61804,"Africa",0.059840109,0.064791958,0.065189132,0.09669969,0.059840109,0.059852407,0.059840109,0.061829041,0.066662264,0.059840109,0.059840109,0.06063398,0.09432603,0.059840109,0.059840109
"99",67796,"Luoyang, China",557,34.28349,111.9959,"Asia",0.065924341,0.07037241,0.066665686,0.074079134,0.065924341,0.065924341,0.065924341,0.074079134,0.074079134,0.065924341,0.065924341,0.065924341,0.068889721,0.065924341,0.065924341
"100",69346,"Machala, Ecuador",557,-3.249661,-79.95928,"South America",0.066652995,0.066652995,0.066652995,0.069666859,0.066652995,0.066652995,0.066652995,0.066652995,0.066652995,0.066652995,0.066652995,0.066652995,0.066652995,0.066652995,0.066652995
"101",69439,"Macon (and vicinity), Georgia, United States of America",464,32.875856,-83.6892,"North America",0.064467879,0.06334653,0.06372585,0.107691462,0.06334653,0.06966857,0.06334653,0.067499854,0.06372585,0.06334653,0.066811772,0.06334653,0.068657004,0.06334653,0.06334653
"102",69532,"Montlucon, France",557,46.33879,2.603488,"Europe",0.06668242,0.06668242,0.06668242,0.06812563,0.06668242,0.06668242,0.06668242,0.06668242,0.06668242,0.06668242,0.06668242,0.06668242,0.06668242,0.06668242,0.06668242
"103",70741,"Mount Gambier, South Australia, Australia",557,-37.83,140.7895,"Australia",0.063568267,0.063568267,0.063568267,0.07269024,0.063568267,0.063568267,0.063568267,0.063568267,0.063568267,0.063568267,0.083123838,0.063568267,0.069421926,0.063568267,0.063568267
"104",71206,"Manhattan (and vicinity), Kansas, United States of America",464,39.18027,-96.563237,"North America",0.064532266,0.064532266,0.064532266,0.091456233,0.064532266,0.067711159,0.064532266,0.064532266,0.064532266,0.064532266,0.064532266,0.064532266,0.06937801,0.064532266,0.066477163
"105",71485,"Milan, Italy",557,45.46833,9.173051,"Europe",0.054152876,0.054322697,0.05643781,0.091757579,0.054216832,0.076445395,0.084166752,0.071249955,0.062535431,0.131583266,0.118397432,0.054775555,0.116630514,0.054152876,0.054152876
